edad,genero,ingreso_mensual,es_frecuente,grupo_tamano,dia_semana,hora_llegada,duracion_estancia,bebidas_alcoholicas,bebidas_sin_alcohol,comida,promocion_activa,evento_especial,gasto_total
41,0,18128.79834,0,1,1,19,2.263150162,6,1,1,1,0,608.849529
53,1,15534.47747,0,2,1,21,3.173468614,1,3,1,0,0,470.9199919
21,0,23069.53869,1,4,0,22,2.634405226,5,1,0,0,0,595.2327492
26,1,18577.71608,0,5,2,22,2.356380599,2,1,0,1,0,322.6200668
37,1,15206.78801,0,1,0,18,1.767623662,3,0,0,0,1,374.772
19,1,8925.616011,0,4,4,1,1.788276809,6,0,1,1,0,539.2483568
18,0,20624.83107,0,2,2,22,3.958592338,1,0,0,0,1,422.0847139
34,0,19432.25177,0,2,5,19,0.5,0,1,1,1,0,285.5870184
49,1,18307.98732,0,4,2,23,1.437324199,1,4,1,1,0,357.1071973
47,1,15395.6036,0,2,4,19,2.059132809,3,2,0,0,0,397.0809565
62,0,12999.08634,0,4,2,0,3.529568873,2,0,1,0,0,478.5229517
46,0,16639.81236,0,4,3,19,1.182788708,3,0,1,1,0,329.9015963
25,1,19388.55647,0,3,4,18,1.522405812,0,0,1,0,0,258.6898015
41,1,17232.89476,0,5,1,21,3.684185355,5,1,1,0,0,620.7128276
28,1,17131.73055,1,3,0,18,2.234949677,4,1,1,0,0,544.9242313
59,1,15190.94655,0,4,3,2,0.68098307,0,2,0,0,0,255.3007434
53,0,20033.42969,0,3,1,22,3.10563512,1,1,1,0,0,458.8700461
18,1,19401.75668,1,4,2,2,2.307018097,2,2,0,1,0,422.9345317
25,0,13485.53237,1,1,3,20,3.457096922,5,1,0,0,0,604.6952296
41,0,22561.5863,1,3,3,18,2.29265395,5,1,1,0,1,654.8835264
46,0,22748.14048,1,1,4,0,1.911663501,3,2,1,0,1,593.1324359
50,1,22881.57329,0,3,6,1,1.72522963,0,1,1,0,1,418.2840911
39,1,17216.12372,0,4,5,2,1.928424966,4,1,1,0,0,496.0549956
54,1,16835.03211,1,5,1,19,2.307804987,3,1,1,1,1,508.0295997
53,0,11044.97476,0,2,1,23,3.890742226,3,1,0,0,0,452.7881583
51,1,22527.9614,1,2,3,0,3.849421151,1,1,0,0,1,517.1058547
21,1,6000,0,1,6,1,1.968262639,2,0,0,0,0,337.1677812
45,1,15654.24553,1,3,1,23,0.932802279,5,2,1,1,0,683.7054986
51,1,15960.95751,0,1,1,2,1.768117033,2,1,1,0,1,470.0377859
37,0,23137.31225,0,5,3,19,2.494656267,5,1,0,1,0,466.816043
45,0,17996.32093,0,3,3,18,2.874574841,2,1,1,0,0,489.1051231
22,1,12213.18504,0,2,3,1,2.366953388,3,1,1,0,0,486.7958107
37,0,9439.407209,1,5,4,19,2.660385134,2,4,1,1,0,544.7077899
51,1,13625.19787,1,4,4,18,5.099650256,3,4,1,0,0,704.7397634
48,1,18639.65528,0,5,5,18,2.206513875,1,1,1,1,0,370.4042204
55,1,18330.2804,1,3,1,18,2.22561381,1,1,1,0,0,462.467724
27,1,16814.24472,1,3,4,21,2.580450973,3,0,0,1,0,413.4870729
47,0,13894.02486,1,2,6,19,3.097123524,3,1,1,0,1,639.2262512
35,0,16739.21599,0,1,4,2,3.066700834,1,0,0,1,1,251.3781355
49,0,23986.57765,1,5,3,19,4.423946258,2,2,0,1,0,513.6645384
20,1,11397.42925,0,4,5,2,1.525691438,3,0,0,0,0,327.7708644
37,1,18201.85989,1,5,2,23,3.294614264,4,2,1,0,0,657.3953788
36,1,27711.41532,1,2,4,23,2.792270133,2,2,0,0,1,599.6644941
39,1,21325.96992,0,1,6,2,3.377040803,1,2,0,0,0,407.0356259
21,1,15264.38627,1,1,4,22,1.376970745,2,0,1,0,0,403.746957
29,1,21965.83165,0,5,2,22,2.06974436,2,0,0,0,0,368.1636165
34,1,13487.85471,1,5,3,20,0.5,3,2,0,1,0,390.4522849
30,0,18042.28613,0,1,6,18,4.219621949,3,0,0,0,1,455.5556505
47,0,27324.21118,1,2,3,18,3.624721787,3,0,1,0,0,616.1418037
61,0,29364.81662,0,5,3,22,0.9945436,4,3,1,1,1,567.8141154
59,1,7748.222183,0,2,0,22,1.64636281,3,0,1,0,0,434.7645992
27,1,22200.40418,0,3,6,20,2.853515427,1,2,1,1,1,495.7557125
30,1,29691.67529,0,3,0,20,3.162588429,3,3,1,1,0,600.8141318
21,1,14727.96594,1,4,4,23,3.104976635,0,1,1,0,0,386.5159466
64,1,19553.94377,1,4,4,1,2.178042757,0,0,0,1,0,230.1771688
32,0,27043.44324,0,4,6,0,3.867073437,1,3,1,1,0,430.5964497
38,0,15044.87492,1,1,5,18,2.482111772,1,1,1,1,0,406.6480507
33,1,20712.14464,1,4,2,0,2.93035992,0,0,1,0,0,408.7283842
53,1,17644.76096,1,1,1,0,2.623421912,3,0,0,0,0,468.5283318
22,0,6447.799888,1,4,6,18,3.175043421,1,3,0,0,0,428.4700845
61,0,20076.72819,0,2,2,22,2.565911716,1,2,1,0,1,449.2546598
26,1,16895.28105,1,4,5,1,4.304836666,4,1,1,0,0,622.8603837
44,1,23568.78766,0,4,1,18,1.361651431,3,1,1,0,0,489.2555884
61,1,30560.32318,0,4,5,18,1.850269199,6,1,1,1,0,607.3260923
41,0,22103.34896,0,1,3,1,3.63334279,4,2,1,0,0,647.9127905
31,0,15795.61583,0,5,4,0,1.097970375,0,2,0,1,1,257.3479247
57,1,20700.90587,1,4,4,20,1.525452524,4,2,1,0,0,557.9208763
21,0,19210.68949,0,3,3,20,1.005153356,2,3,1,0,0,470.0754533
47,1,24137.88183,0,4,1,1,2.528417351,3,0,0,0,0,399.117639
30,0,9367.273237,0,3,5,22,2.601976814,2,1,0,1,0,325.5212671
30,0,11002.03508,0,5,2,22,1.275694544,4,1,0,0,0,386.0879448
33,1,6000,0,3,4,22,1.570750307,2,5,0,1,1,413.6332519
47,1,21642.50727,1,4,2,2,3.048717249,3,0,1,0,1,627.9575569
26,0,17885.95999,1,5,3,1,4.538645369,3,0,1,0,0,597.6087068
56,1,14159.17274,0,2,5,1,3.321053807,4,2,1,0,1,632.7363665
24,0,13648.5183,1,4,0,1,1.582135534,1,2,1,0,0,420.788718
39,1,14566.8526,1,4,1,0,1.410759038,2,2,0,0,0,324.1998663
62,1,12433.10574,0,3,5,2,2.131255461,3,1,1,0,0,436.2980583
45,0,16071.59037,0,1,5,1,2.30467034,2,2,1,0,0,473.1697297
25,1,15034.70515,0,2,3,1,2.788640656,5,1,1,0,1,645.3474476
35,0,26339.8455,0,2,2,19,2.261472422,3,1,1,0,0,538.145084
60,1,19939.84409,1,3,4,20,1.249498575,2,3,0,0,0,396.9644182
23,1,13088.8647,1,2,5,0,3.902681827,2,1,0,0,0,435.4691402
54,1,14496.68327,1,2,2,23,4.44513685,0,3,0,0,0,486.2643575
59,1,25193.64156,1,2,3,0,2.215244065,2,1,1,0,1,509.0361025
59,1,20714.56409,0,1,6,23,1.731403724,2,0,1,0,0,421.2319605
47,1,19771.09556,0,5,6,18,3.28048785,2,0,1,0,0,505.1980642
44,1,22323.88026,1,1,0,22,1.324558516,2,0,1,1,0,438.9546465
18,0,27516.67948,1,3,0,21,1.406318252,1,2,0,0,0,332.8425176
40,0,10696.08448,0,4,5,0,2.387833344,2,0,0,0,0,294.4806801
52,0,13525.95288,1,2,4,23,3.505989558,3,2,1,0,1,625.4794315
30,0,7556.282033,1,2,6,20,2.545843931,1,0,0,0,1,402.6973434
24,0,20969.28583,0,2,6,20,4.537337366,1,1,0,1,1,422.1454481
58,1,15727.08965,1,4,4,1,2.27157252,3,2,1,0,0,615.5483863
52,1,13968.89363,1,1,3,0,1.418613662,3,0,0,0,0,394.3484355
60,0,13426.62734,0,5,5,20,1.651861292,3,1,0,0,1,416.5555747
64,1,22148.139,0,3,4,20,1.993009177,2,2,1,1,0,409.8247743
47,1,17147.51873,1,4,0,21,2.352019329,1,3,0,0,0,438.2354314
56,0,14816.86624,1,4,3,21,2.394121288,3,3,1,1,0,563.7712513
60,0,25532.16336,0,5,4,20,3.192395117,1,0,0,1,1,378.2539149
35,1,11723.5624,1,4,5,22,2.217509199,3,3,1,0,0,535.0501036
23,0,10413.72516,1,1,1,22,0.54811443,2,1,1,1,0,446.3368408
33,0,33567.87248,1,5,5,22,3.262596805,2,1,1,0,0,591.0465028
30,0,15793.60969,1,3,5,23,1.549644499,2,1,1,0,0,402.5920073
59,1,14739.17236,1,5,0,20,1.552183877,3,3,0,1,1,505.4478172
58,0,13635.47788,1,5,1,1,3.480510853,4,0,0,0,0,525.8137146
46,1,17178.63013,1,4,2,20,1.651839183,2,2,1,0,1,485.5033785
55,1,22696.4639,0,4,2,18,3.168960311,2,0,0,0,0,341.4507783
27,1,22520.77827,0,4,3,18,2.943522041,4,1,0,1,0,398.9861341
41,1,21264.3466,0,1,6,1,2.156137404,2,2,0,0,0,393.1367546
39,1,16328.38595,1,5,0,19,2.930174621,2,1,1,0,1,607.7251053
22,1,9059.557273,0,4,5,1,3.904770036,3,2,1,1,0,497.8072275
45,0,19697.73516,1,5,6,18,1.982189492,2,1,1,1,0,481.0906057
30,1,27112.78315,1,1,3,21,3.384440259,2,1,0,0,1,478.6844342
59,0,24415.67175,0,2,4,0,2.128480369,0,1,0,1,1,266.0178024
29,0,16990.45042,0,3,6,22,2.149294952,2,1,1,1,1,472.7639317
24,0,22815.22557,0,5,0,20,3.164172561,1,0,1,0,0,339.3056359
51,0,15687.048,1,4,5,18,2.548780228,4,0,0,1,1,516.7818751
39,1,17669.1116,1,2,5,20,2.551090088,2,3,0,1,0,401.9970481
39,1,10593.81048,0,5,5,23,1.288941804,2,1,0,1,0,299.1902793
48,0,16107.43217,0,3,5,21,3.837040303,0,0,1,0,0,410.5398753
61,0,18843.39274,0,1,4,2,3.030792044,3,1,0,0,0,388.697834
46,1,16985.74765,1,3,2,23,4.005910193,0,0,1,0,1,525.4831803
30,0,22619.77874,0,4,1,23,3.166900208,2,0,1,1,0,438.7482154
30,1,29302.04461,1,3,3,23,3.376475616,2,1,1,0,0,602.8757066
63,1,25929.82589,1,1,5,0,2.486673046,3,0,1,0,0,524.0878183
54,1,16170.28353,1,5,0,18,3.948477674,2,1,1,1,0,530.9272462
25,1,13612.9019,0,5,5,21,1.018475905,2,1,1,0,1,474.0922306
39,1,14084.04206,0,2,6,18,3.005115015,7,0,0,0,0,552.8384484
59,0,12133.20612,0,1,3,21,1.863110199,2,1,1,0,1,426.7418733
56,1,18204.08022,1,3,0,19,1.864025163,2,1,1,1,0,436.4579397
33,1,20526.71201,1,3,0,19,3.79103881,3,1,0,0,0,530.3894234
61,1,19098.237,0,1,5,23,1.776880999,1,1,1,0,0,427.3315175
36,1,19161.90003,0,2,4,19,1.882669956,0,3,1,1,0,351.4978392
46,1,18949.20116,1,5,1,0,2.231820083,1,1,0,1,0,343.6449834
34,1,17207.6754,0,1,3,21,1.972444568,2,1,0,0,0,352.9948171
23,1,13545.86258,0,1,1,1,1.221241,6,0,1,0,0,601.7882305
53,1,28347.87538,0,3,3,1,1.927130159,7,3,1,0,1,764.4866032
31,1,24285.18994,0,3,0,2,1.115766213,1,5,0,0,1,400.4058982
50,1,12550.46488,0,3,5,18,1.760894905,0,0,1,0,1,288.3194705
41,0,12568.55059,1,4,5,18,2.55712284,3,1,0,0,0,381.530741
49,1,14482.37805,1,4,1,23,1.683391332,0,0,0,1,0,228.0282124
51,1,18198.17244,1,1,0,23,2.322079643,1,0,0,0,0,346.8933729
63,1,25554.27641,1,3,3,23,3.304487298,1,2,1,1,0,486.4383986
58,1,24089.08037,0,4,0,2,2.559941989,2,2,1,0,1,501.1684443
45,1,24406.50214,0,1,6,22,1.150830628,4,2,0,1,0,346.4735163
32,1,24527.00547,0,4,0,19,3.164628806,1,1,1,1,0,422.4456411
63,0,24638.41403,1,2,3,0,3.449386471,1,2,1,1,1,574.7892141
59,1,22420.13753,1,5,3,1,2.99455274,4,1,1,0,0,629.5361951
60,0,20727.0218,0,1,6,18,1.268294779,0,1,0,1,0,226.8617087
50,1,17285.67465,0,3,5,20,3.831560126,0,1,0,0,0,304.6792799
52,1,7537.390741,1,2,1,0,1.382581011,4,0,0,0,0,477.1166889
49,0,17224.66702,1,3,0,23,2.904607356,2,2,1,0,0,621.0398467
56,0,28811.86637,1,3,4,18,1.143197786,2,1,0,0,0,406.108649
36,0,14760.20198,1,2,5,20,3.119602949,1,2,0,1,0,338.037266
27,1,14245.8399,0,1,4,1,3.318836333,3,3,1,0,0,547.5051934
27,0,24104.49315,1,5,6,0,3.768348079,3,0,1,1,0,575.4203923
31,0,18483.74896,0,5,2,21,2.11874673,1,1,1,0,1,445.7435075
39,1,15119.68197,1,4,2,0,2.144935184,1,0,0,0,0,344.4747875
61,1,27345.97884,0,5,0,2,1.75443217,3,1,1,1,0,447.7059553
19,0,21744.93509,0,2,2,22,2.575146326,1,1,1,0,0,441.6749598
49,1,22545.46761,0,3,1,23,2.367091173,2,1,0,0,0,370.0253823
32,0,14612.54755,1,5,0,2,2.64993917,1,3,1,1,0,457.2659385
34,0,20982.31026,0,3,0,1,1.320559538,2,0,1,1,0,414.5662608
43,0,20258.95759,0,3,6,22,2.885794654,2,1,1,1,0,458.5202835
64,1,22662.46806,0,2,0,18,2.798673436,4,1,1,0,0,564.3889335
51,1,24895.01787,1,3,5,2,0.5,4,3,1,1,0,571.1548823
39,1,24756.44106,0,3,1,18,3.098557001,0,1,0,0,0,289.1762673
37,1,19022.94489,0,4,6,0,2.724769188,0,3,0,0,1,271.7131308
36,0,22136.99597,0,3,3,19,3.378837522,1,2,0,0,0,370.4140911
18,0,11129.53172,1,1,6,1,3.883453466,4,1,0,1,0,500.1594519
31,1,21861.67269,0,2,6,0,1.605391715,4,1,1,0,0,561.4332079
28,1,22105.88986,1,1,2,1,2.047733243,1,3,1,0,0,512.6790435
45,1,15666.87461,0,3,4,23,2.259822438,5,5,1,0,0,677.3144293
46,1,13357.51292,0,3,5,22,4.177515841,1,2,1,0,0,461.6043933
26,0,17647.45609,0,5,5,20,1.320655202,5,1,1,0,1,542.0225025
51,1,10719.28131,0,4,0,21,2.193837312,2,1,1,1,0,427.3171396
54,1,20045.28414,0,1,6,20,3.276885112,2,1,1,0,0,458.7577745
43,1,19768.20695,0,1,1,0,1.794578965,2,2,1,1,0,390.8577102
62,0,12308.5943,0,3,5,21,3.18342677,3,3,0,1,1,510.1500698
60,1,18285.40562,0,2,1,0,2.471576663,0,2,1,0,0,406.9974623
46,1,24406.27607,0,4,2,0,3.105494943,3,3,1,1,1,608.8189253
25,1,24375.66103,0,3,0,20,3.026510565,2,1,0,0,0,303.7314443
33,1,24063.246,0,1,3,1,1.576567249,1,0,1,1,0,364.2708444
18,1,17097.84019,0,1,2,23,2.403194167,3,1,1,0,0,548.4749569
36,0,15971.19985,0,3,4,20,0.730987923,4,0,1,1,0,381.3265602
57,0,15654.82269,1,1,4,23,4.628059737,6,1,0,0,0,626.1143556
62,1,21556.07827,1,1,6,0,1.775673371,2,1,0,1,0,352.7279273
18,1,32111.2038,0,3,2,23,1.776068357,2,0,0,1,0,324.7838808
62,0,26430.02524,0,3,0,1,2.407980771,3,1,1,0,1,594.473123
27,0,27514.63733,1,2,4,2,3.046515078,2,1,1,1,0,583.2214094
64,1,26099.4269,1,2,3,1,2.295582515,1,1,1,0,0,454.6228841
52,0,8323.410514,0,2,4,18,2.427554208,2,3,0,0,0,360.7426794
61,1,16795.68449,0,3,3,23,3.098414767,4,0,1,0,0,513.0642917
23,0,15404.13391,0,1,3,23,2.678152015,1,0,1,0,0,378.981889
39,0,25497.46628,1,1,3,23,1.969044175,2,1,1,0,0,497.6846601
34,0,28130.31478,0,4,1,20,2.35038568,2,2,1,1,0,460.7092088
59,0,14016.49337,1,5,1,22,2.138350114,2,0,1,0,0,481.719594
29,1,18231.96211,0,2,6,20,3.820078509,1,1,1,0,0,366.6570555
60,0,21343.05919,1,3,0,21,2.633529201,5,1,1,1,1,676.8971362
50,1,15069.26058,0,4,2,2,1.256314943,3,3,1,1,0,498.1733221
58,0,14228.86979,0,5,3,2,2.550930988,3,0,1,1,1,469.6140212
54,1,13935.36457,0,1,5,21,2.324150971,2,0,1,0,1,494.4808106
23,1,23309.32772,1,2,5,0,2.435917997,1,1,1,0,1,529.576119
46,0,12545.29052,0,3,0,0,2.607260905,2,0,1,0,0,478.2948618
61,1,24811.90453,0,1,4,0,0.526356901,1,2,0,0,0,263.0732429
47,0,18521.10761,0,4,6,18,2.91162453,3,1,1,0,0,537.475239
64,0,22510.00469,0,1,0,22,4.042306621,1,3,1,1,0,512.3369628
60,0,27270.22747,0,3,0,20,3.640350384,3,3,0,1,0,473.5869575
49,0,13986.44024,0,4,1,18,3.706507381,0,3,0,1,0,297.8022219
25,1,13099.93084,1,5,2,2,3.046455642,1,0,0,0,0,380.1467557
46,1,20560.40622,1,1,6,23,4.950162932,3,1,0,1,0,491.5928339
32,1,11810.16411,0,4,6,23,3.684069508,4,1,1,0,0,595.4512304
31,1,13619.84489,1,2,6,21,2.347870574,2,0,1,0,0,494.9011822
37,1,17319.15091,0,1,5,20,2.988326468,3,0,1,0,0,534.3691921
59,0,18941.14653,1,5,6,22,2.656792386,3,1,1,1,1,568.5826543
31,1,10539.76418,1,4,1,23,3.155549987,1,1,0,0,1,404.8537326
42,1,15707.26764,0,5,3,18,3.087052422,4,1,1,0,0,539.3668582
21,0,21494.45158,0,4,1,19,2.976807495,0,1,1,0,0,402.243701
25,0,26057.96542,1,2,1,0,4.174662186,2,2,1,0,1,677.1103452
60,1,6243.81635,1,5,2,19,2.13535725,2,0,1,1,1,438.9170594
50,1,25822.66988,1,3,6,1,2.458367255,2,0,0,1,0,285.6775467
51,0,23279.63193,0,3,2,23,3.483241538,1,2,1,0,1,575.66183
29,0,11503.5775,0,5,5,2,2.900353684,2,1,0,0,1,371.615406
45,1,9199.341174,0,2,6,2,2.467742584,4,4,1,0,0,622.6927541
22,1,20498.44521,0,3,3,1,2.608520101,0,1,0,0,1,257.6025223
56,0,15489.70909,0,3,1,21,3.613851796,3,1,0,1,0,381.2015106
49,1,18814.24478,1,1,3,1,4.665852293,1,4,1,0,0,611.2311149
48,0,23149.19924,0,1,4,0,1.773318414,1,1,0,1,0,241.4319027
32,0,15774.68534,0,4,1,21,2.546365254,2,0,1,1,0,410.9631708
62,1,18970.86783,0,4,3,22,1.913977301,3,1,1,0,0,510.9125954
61,0,20841.3934,0,5,0,19,2.364130955,0,2,0,0,0,313.642352
30,1,23315.28115,1,4,2,20,2.282175915,0,2,1,0,1,506.4427835
34,1,28531.22419,1,5,6,22,3.490213888,1,0,0,1,0,433.9621914
44,0,28166.9922,0,1,1,1,3.256795389,2,1,1,0,0,482.5063847
50,1,19441.33975,0,4,2,23,1.605286827,2,1,1,0,0,466.7102754
61,0,16588.6896,0,5,5,2,2.224426494,4,0,1,0,1,585.3754312
51,0,32180.27857,1,3,2,22,2.012617741,3,0,1,0,0,509.6360275
26,1,21827.02266,1,1,1,23,2.40739002,6,2,0,0,0,585.6059605
48,1,20553.60532,1,5,2,21,3.659972501,1,1,1,1,0,510.6901505
51,1,11424.70481,0,3,2,18,2.599820505,0,1,1,0,0,375.0137997
33,0,22651.34234,0,2,4,21,2.948624495,4,0,1,0,0,478.9882169
40,1,13361.55027,0,2,6,23,2.353960164,0,0,0,1,0,228.767386
52,1,15266.85887,0,5,1,21,1.962924293,2,0,1,1,1,396.6421717
30,0,10029.34453,1,2,3,19,2.174433243,2,1,1,1,0,458.8354426
22,0,14904.23847,1,5,4,19,1.742059462,1,2,0,0,1,403.4764928
62,1,18373.22059,0,2,2,20,1.363872747,1,3,0,0,1,295.8845411
38,1,9045.058216,0,4,6,18,3.902600259,7,0,1,0,1,729.6917448
61,1,12658.99417,1,5,5,2,2.739001151,2,0,1,0,0,474.1128679
36,1,17536.21256,0,2,0,1,3.172670006,0,3,0,0,0,332.8155895
39,1,10462.56881,1,4,2,1,2.8228873,0,1,0,0,1,387.8515261
40,1,10526.34493,1,1,6,22,3.213034456,0,1,1,1,0,456.2834817
36,0,13035.69073,1,4,1,0,2.185602534,2,1,1,1,0,444.9364717
23,1,9600.431935,1,4,2,2,2.029039245,1,1,0,1,0,303.2894606
57,1,21669.48664,1,2,5,23,1.279186949,0,1,1,0,0,327.7001916
23,1,12069.67452,1,2,1,0,2.847274769,1,2,0,1,0,338.20706
23,1,22595.56324,0,4,0,21,1.741813212,1,1,0,0,0,294.1643558
24,0,23525.48354,1,1,4,2,2.174718948,3,0,0,1,1,488.217986
49,1,10847.08362,0,2,1,22,2.101345678,2,4,1,1,0,524.9070699
47,0,18244.6261,0,3,4,0,3.362069821,2,3,1,0,0,609.0185686
34,0,15141.3867,1,4,2,19,2.068662245,1,3,1,0,0,509.5691505
60,1,11207.69126,1,2,2,1,4.607475749,2,0,0,0,0,423.8607584
64,1,16001.04711,1,3,4,2,2.562338844,0,3,0,1,0,343.287069
22,0,16559.07961,0,1,1,22,4.693402915,2,0,0,1,0,409.4154904
64,0,22249.14021,1,2,4,23,3.003326404,3,1,1,1,0,576.8614218
56,1,24129.7381,1,5,4,20,2.597795608,1,1,0,0,0,375.7591537
31,0,11424.12923,0,5,4,1,2.402213428,2,2,0,0,1,419.1529392
20,1,15573.37398,0,4,0,2,2.135890111,5,2,0,0,0,552.9128559
30,0,21171.71811,0,5,4,1,1.329702586,4,0,1,0,0,480.516768
42,0,25042.86462,1,3,3,0,2.700968688,2,1,1,0,0,463.6408082
45,0,6000,0,1,5,21,3.773042046,3,3,0,0,0,533.6442964
34,0,25647.973,0,5,3,22,4.606548662,1,0,1,1,0,457.390463
64,0,16995.82479,1,1,1,1,1.252343846,2,1,1,0,0,495.053324
23,1,27169.1077,0,4,4,2,1.741616493,2,2,0,1,0,333.7682082
58,1,15465.02082,0,5,5,0,3.810148075,1,2,1,0,1,508.6297306
47,1,13028.38885,0,4,3,1,3.469837011,5,1,1,0,1,643.502014
27,0,18269.17464,0,4,5,22,2.694899199,4,0,1,1,0,525.9361708
62,1,24999.47494,0,1,6,0,2.496299593,2,1,1,0,0,437.5740464
57,0,18183.65787,0,2,6,20,2.536545176,2,1,1,0,0,443.5550273
32,1,6000,1,1,4,18,1.962434698,2,0,1,0,1,516.525667
24,0,22095.82013,1,1,2,23,1.660747426,0,3,0,1,0,358.9172776
20,1,8364.017255,1,3,6,20,2.756071052,1,2,1,0,0,473.7768168
55,1,12141.73709,1,4,6,2,0.775613859,1,2,1,1,0,394.7584324
40,1,11044.30821,0,4,2,22,2.277444949,2,1,1,0,0,403.7775985
64,1,6993.181561,0,1,6,20,2.694374273,5,2,1,0,0,545.3600842
27,1,10497.52825,1,3,1,23,3.26213514,2,1,1,0,0,552.4286337
53,0,12084.92512,0,4,1,19,1.64790884,4,1,0,1,0,319.6420608
33,1,14332.61509,1,3,2,18,3.432306496,1,1,1,0,0,447.8634408
38,0,17680.47364,0,2,1,22,0.5,2,0,1,0,0,362.5972102
50,1,15996.10618,0,4,4,2,1.973367917,6,3,1,0,0,707.9316296
53,1,9117.576224,0,5,5,0,1.796539263,5,1,0,0,0,450.214273
39,0,16909.85845,0,3,3,23,0.965895121,4,1,1,0,0,510.034636
24,1,23836.41902,1,4,4,23,2.573127621,2,1,0,1,0,404.6366298
38,1,23689.26438,0,1,5,19,1.552606712,1,1,0,0,0,319.49782
18,0,18807.9137,1,1,0,23,2.590983543,1,0,0,1,0,287.2724705
38,1,21716.32264,1,5,2,22,3.183364019,0,1,0,0,0,350.1134841
51,0,23353.55643,1,3,4,18,4.339961978,3,2,1,0,0,645.8870801
39,1,26169.91548,1,3,6,23,1.927210913,3,1,1,1,0,450.7218404
20,1,28178.70317,1,1,5,2,3.520278421,1,0,0,0,0,381.6923082
29,0,16078.33093,1,5,5,19,2.451310682,2,1,1,0,0,550.4894526
29,1,16370.05674,1,2,2,1,2.536550184,1,0,0,0,1,382.7727487
54,1,26836.79382,0,3,2,23,3.410263671,4,1,1,0,1,603.1799961
26,0,27366.4255,0,2,6,18,2.732575332,4,1,1,0,0,619.9926842
63,0,27243.94152,0,3,6,23,2.971315343,3,3,1,0,0,549.3461088
61,1,6000,0,1,0,0,4.360928209,2,3,1,0,1,535.5643921
25,1,16681.86365,1,5,6,23,2.895279091,3,1,1,0,1,613.9149505
25,0,6000,1,1,6,19,3.666742809,2,3,1,1,0,536.0854826
39,1,22379.61552,1,1,3,0,2.417203307,2,1,0,1,0,351.9012347
37,0,18333.69411,0,2,1,1,2.711081371,2,1,0,0,0,394.4830923
57,1,18313.07696,0,3,2,23,1.885651669,2,1,1,0,0,419.5236194
40,1,17173.83153,1,3,6,23,3.543671873,2,0,1,0,0,569.0488994
